"id","name","description"
"retail-banking","Retail Banking","Customer-facing retail banking department (branches, accounts, cards)"
"corporate-banking","Corporate Banking","Services for corporate clients and relationship management"
"investment-banking","Investment Banking","Capital markets, M&A advisory and underwriting"
"risk-compliance","Risk & Compliance","Regulatory compliance, risk management and controls"
"treasury","Treasury","Treasury operations, liquidity management and funding"
"wealth-management","Wealth Management","Private banking and wealth advisory services"
"payments","Payments","Payments processing and merchant services"
"operations","Operations","Operations and back-office processing"
"technology","Technology & IT","Technology, platform and infrastructure"
"human-resources","Human Resources","People operations and talent management"
"unknown","Unknown","Uncategorized or unknown workspace"
"global","Global","Workspace for users that need access across all workspaces"
