"id","product_id","name","description","owner","created_at","workspace_id","business_key"
"019e0488-9a54-7678-a935-3e65933617ae","019e0488-9a54-7ccd-8b26-ac440ebc2f3c","CRM System","Customer data from Salesforce CRM","CRM Team","2025-01-15T10:00:00Z","retail-banking","crm-system"
"019e0488-9a54-7653-bd1c-698145dca333","019e0488-9a54-7ccd-8b26-ac440ebc2f3c","Order Processing","Order management and fulfillment data","Order Fulfillment Team","2025-02-01T10:00:00Z","retail-banking","order-processing"
"019e0488-9a54-7cb2-8ca2-9088abc47f92","019e0488-9a54-7bb4-a49e-98434c26d7a7","Payments","Payment transactions and reconciliation","Payments Team","2025-03-01T10:00:00Z","retail-banking","payments"
"019e0488-9a54-7dbd-bb4b-d20d2d7bf053","019e0488-9a54-7541-aae5-74bbd1123584","Product Master","Core product information","Product Ops","2025-04-01T10:00:00Z","retail-banking","product-master"
"019e0488-9a54-7e73-8e89-d8ef19234a17","019e0488-9a54-7b50-a724-9ced506179c3","Data Warehouse","Aggregated and denormalized analytics tables","Data Engineering","2025-05-01T10:00:00Z","corporate-banking","data-warehouse"
"019e0488-9a54-7b5b-9bb9-3380e66db03f","","Real-Time Events","Streaming event data from Kafka topics","Platform Team","2025-06-01T10:00:00Z","retail-banking","real-time-events"
"019e0488-9a54-7124-aeb7-21cd8f34fff5","","Master Reference Data","Shared lookup tables and reference data","Data Governance","2025-07-01T10:00:00Z","retail-banking","master-reference-data"
"019e0488-9a54-7581-81d0-3e089c1d9868","019e0488-9a54-79f5-9056-7f5e3afbff08","Support System","Help desk ticketing and support agent data","Support Operations","2025-08-01T10:00:00Z","risk-compliance","support-system"
"019e0488-9a54-7d57-9a70-4f88c596f718","019e0488-9a54-707f-977f-2605e27f3587","Campaign Management","Marketing campaign and promotion data","Marketing Analytics","2025-09-15T10:00:00Z","treasury","campaign-management"
"019e0488-9a54-75e4-8485-facd0192c876","019e0488-9a54-707f-977f-2605e27f3587","Regulatory Compliance","Compliance records and audit logs","Legal & Compliance","2025-09-20T10:00:00Z","treasury","regulatory-compliance"
